,word,phonetic,translation
2529,normalization,.nɒ:mәlai'zeiʃәn,"n. 常态化, 正常化, 正规化
[化] 归一化; 正态化; 正火; 正火处理"
2530,passage,'pæsidʒ,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
2531,pioneering,,a. 首创的；先驱的
2532,precursor,.pri:'kә:sә,"n. 先驱者, 前导, 前兆
[化] 前体; 前身; 产物母体"
2533,station,'steiʃәn,"n. 车站, 站, 局, 驻地, 位置, 身分, 地位
vt. 安置, 配置, 驻扎
[计] 站"
2534,symmetrical,si'metrikl,"a. 对称的, 匀称的
[医] 对称的, 均称的"
2535,systematically,.sisti'mætikli,"adv. 有系统地, 有组织地, 有条理地"
2536,tendency,'tendәnsi,"n. 趋向, 倾向
[医] 趋向, 趋势"
2537,absorb,әb'sɒ:b,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
[医] 吸收"
2538,aforementioned,ә'fɒ:.menʃәnd,"a. 上述的, 前述的
[法] 前面提到过的, 前述的"
2539,anticipated,,a. 预期的；期望的
2540,arbitrarily,'ɑ:bitrәrili,"adv. 任意地, 武断地, 专横地, 反复无常地"
2541,branch,bræntʃ,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
[计] 分支, 目录分支"
2542,buried,,a. 埋葬的；[地]埋藏的
2543,compress,kәm'pres,"vt. 压缩, 压紧
vi. 受压缩小
[计] 压缩程序"
2544,emergence,i'mә:dʒәns,"n. 出现, 浮现, 发生"
2545,excellence,'ekslәns,"n. 优秀, 卓越, 优点"
2546,falling,'fɒ:liŋ,"a. 落下的, 坠落的, 下降的
[化] 消胀"
2547,flip,flip,"vt. 掷, 弹, 轻击, 空翻
vi. 用指轻弹, 抽打, 蹦跳
n. 抛, 弹, 筋斗
a. 无礼的
[计] 翻转"
2548,fruitful,'fru:tful,"a. 结果实的, 多实的, 产量多的"
2549,gel,dʒel,"n. 胶化体, 凝胶
vi. 胶化, 成凝胶状
[计] 通用仿真语言"
2550,grateful,'greitful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
2551,hammer,'hæmә,"n. 锤, 铁锤, 钉锤
vt. 锤打, 敲打, 钉
vi. 连续锤打
[计] 锤头"
2552,incomplete,.inkәm'pli:t,"a. 不完全的, 未完成的, 不完善的
[机] 不完全的"
2553,interestingly,'intristiŋli,adv. 有趣地
2554,interfere,.intә'fiә,"vi. 妨碍, 冲突, 干涉, 抵触
[医] 干扰, 干涉, 阻碍, 碰腿(马)"
2555,man,mæn,"n. 男人, 人类, 人
vt. 为...配备人手, 操纵, 使振奋
[计] 城域网, 手册"
2556,metric,'metrik,"a. 公尺的, 公制的, 计量的
[医] 测量的, 米制的, 公制的"
2557,observer,әb'zә:vә,"n. 观察者, 遵守者, 观察员
[法] 观察者, 观察员, 监场员"
2558,periodically,",piәri'ɔdikəli","adv. 定期, 循环, 间歇, 周期, 定期刊行, 期刊"
2559,private,'praivit,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
[计] 私人的"
2560,reed,ri:d,"n. 芦苇, 芦笛, 簧舌, 纤弱的人
vt. 用芦苇盖, 用小凸嵌线装饰"
2561,satisfactory,.sætis'fæktәri,"a. 满意的, 赎罪的
[法] 令人满意的, 令当事人满意的, 充分的"
2562,secondly,'sekәndli,"adv. 第二, 其次"
2563,slip,slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
[计] 串行线接口协议"
2564,summarize,'sʌmәraiz,"v. 概述, 总结"
2565,supplement,'sʌplimәnt,"n. 补充物, 增刊, 补充, 补遗, 补编, 附录, 补角
vt. 补充, 增补"
2566,absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
2567,appropriately,,"adv. 适当的, 恰如其分的, 恰当的, 合适的"
2568,artifact,'ɑ:tifækt,"n. 人工制品
[医] 人为现象, 人工产物"
2569,assistance,ә'sistәns,"n. 协助, 援助
[经] 援助, 帮助"
2570,attempt,ә'tempt,"n. 尝试, 企图
vt. 尝试, 企图"
2571,centimeter,'sentimi:tә,"n. 厘米
[医] 厘米"
2572,comparatively,kәm'pærәtivli,"adv. 比较地, 相对地"
2573,deduce,di'dju:s,"vt. 推论, 演绎出
[法] 推断, 推出, 演绎"
2574,deeply,'di:pli,"adv. 深刻地, 在深处, 深沉地"
2575,earth,ә:θ,"n. 地球, 泥土, 世界, 尘世
vt. 埋入土中, 赶入洞内
vi. 躲入洞内"
2576,era,'iәrә,"n. 时代, 纪元, 时期"
2577,hemisphere,'hemisfiә,"n. 半球, 地球的半面, 大脑半球
[医] 半球"
2578,hey,hei,interj. 嗨
2579,imprint,im'print,"vt. 印, 铭刻
n. 印, 印记, 特征, 痕迹, 版本说明"
2580,isolate,'aisәleit,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
2581,lighter,'laitә,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
2582,loaded,'lәudid,"a. 有负载的, 有含蓄的, 加重的, 不公正的, 偏袒的, 喝醉了的, 富有的
[计] 有负载的"
2583,nearby,'niәbai,"a. 附近的, 近旁的
adv. 在附近, 近旁地
prep. 在...附近"
2584,neighboring,'neibәriŋ,"a. 附近的, 邻近的, 邻接的"
2585,North,nɒ:θ,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
2586,opposed,ә'pәuzd,"a. 反对的, 敌对的, 对抗的, 相对的
[机] 反对的, 相反的, 对立的"
2587,ordinary,'ɒ:dinәri,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
2588,port,pɒ:t,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
[计] 端口, 移植"
2589,revealing,ri'vi:liŋ,"a. 暴露的, 显露的, 揭露的"
2590,ridge,ridʒ,"n. 脊, 山脊, 山脉
[医] 嵴, 脊, 棱线"
2591,sake,seik,"n. 目的, 缘故, 理由"
2592,sector,'sektә,"n. 扇形, 部门, 部分, 函数尺, 象限仪, 段, 区段
vt. 把...分成扇形
[计] 扇面; 扇区; 段; 区段"
2593,severely,si'viәli,"adv. 严格, 尖锐, 严肃, 严重, 严厉, 朴素"
2594,stand,stænd,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
2595,sustain,sә'stein,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
[电] 持续"
2596,switching,'switʃiŋ,"[计] 交换
[经] 转换, 调换, 调头"
2597,tissue,'tiʃu:,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
[化] 组织"
2598,turbulence,'tә:bjulәns,"n. 混乱, 动荡, 骚乱, 紊流
[化] 湍流; 紊流"
2599,unexpected,.ʌnik'spektid,"a. 料想不到的, 突然的, 意外的
[法] 不能预料的, 意外的"
2600,validate,'vælideit,"vt. 使有效, 使生效, 确认, 证实, 验证
[计] 验证"
2601,acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的"
2602,annihilation,ә.naiә'leiʃәn,"n. 歼灭, 湮灭
[化] 消灭; 湮灭; 湮灭"
2603,automatically,.ɒ:tә'mætikli,"adv. 自动地, 机械地"
2604,bottleneck,'bɒtlnek,"n. 瓶颈
[经] 瓶颈, 增产障碍"
2605,branching,'bræntʃiŋ,"n. 分歧
a. 发枝的, 分歧的"
2606,detached,di'tætʃt,"a. 超然的, 分离的, 冷淡的
[法] 分遣的, 派遣的, 分离的"
2607,diagonal,dai'ægәnl,"a. 对角线的, 斜的, 斜纹的
n. 对角线, 斜线, 斜列"
2608,document,'dɒkjumәnt,"n. 文件, 公文, 文档
vt. 证明, 为...引证
[计] 文档"
2609,elemental,.eli'mentәl,"a. 元素的, 基本的"
2610,employ,im'plɒi,"n. 雇用
vt. 雇用, 使用, 使从事于"
2611,ethanol,'eθәnәul,"n. 乙醇, 酒精
[化] 乙醇"
2612,excluding,,"prep. 把...排除在外, 不包括..., 不计..."
2613,exclusively,ik'sklu:sivli,"adv. 排他地, 仅仅, 专门, 只, 仅, 唯一地, 专有地"
2614,flying,'flaiiŋ,"a. 飞的, 飘扬的, 飞速的
n. 飞行, 飞花"
2615,hydrocarbon,.haidrәu'kɑ:bәn,"n. 碳氢化合物
[化] 烃; 碳氢化合物"
2616,idealized,"aɪ'diəl,aɪz", 理想化的
2617,illuminating,"i'lju:mi,neitiŋ",a. 有启发性的
2618,intrinsically,,[计] 本质的
2619,kernel,'kә:nl,"n. 核心, 中心, 精髓, 内核
[计] 内核"
2620,locate,'lәukeit,"vt. 找出, 设于, 位于
vi. 定居"
2621,management,'mænidʒmәnt,"n. 经营, 支配, 管理
[化] 管理处"
2622,market,'mɑ:kit,"n. 市场, 交易, 集市, 推销地区, 行情, 市面, 销路
vt. 在市场上交易, 使上市, 销售
vi. 在市场上买卖"
2623,mat,mæt,"n. 垫, 丛, 衬边
a. 粗糙的, 无光泽的
vi. 纠缠在一起
vt. 铺席于...上, 使无光泽, 使缠结"
2624,meeting,'mi:tiŋ,"n. 会议, 会面
[法] 会议, 会谈, 集会"
2625,nation,'neiʃәn,"n. 国家, 民族
[法] 民族, 国家"
2626,perhaps,pә'hæps,"adv. 也许, 大概"
2627,positively,,"adv. 明确地, 肯定地, 无疑地, (非正式)确实地, 真正地"
2628,priority,prai'ɒriti,"n. 优先权, 优先
[计] 优先级"
2629,progressively,,"adv. 进步, 先进, 向前进, 不断前进, 累进, 渐进, 逐渐, 渐次, 主张进步, 进行性"
2630,protected,,a. 受保护的
2631,quick,kwik,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
2632,reactor,ri'æktә,"n. 反应者, 反应器, 反应堆, 电抗器
[化] 反应釜; 反应锅"
2633,redistribution,'ri:distri'bju:ʃәn,"n. 重新分配, 再分发
[计] 重新分配"
2634,restriction,ri'strikʃәn,"n. 限制, 限定, 约束
[计] 限定"
2635,sharply,'ʃɑ:pli,"adv. 锐利地, 严厉地, 厉害地
[经] 剧烈地"
2636,south,sauθ,"n. 南方, 南
a. 南的, 向南的
adv. 在南方
vi. 转向南方"
2637,surf,sә:f,"n. 海浪, 拍岸浪
vi. 作冲浪运动"
2638,surprising,sә'praiziŋ,a. 令人惊讶的
2639,try,trai,"n. 尝试, 试验, 审理, 审判
vt. 试, 尝试, 试验, 考验, 审问, 提炼
vi. 尝试, 试图"
2640,tune,tju:n,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
2641,uniquely,,adv. 独特地；珍奇地
2642,vice,vais,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳
vt. 钳住
prep. 代替"
2643,ye,ji:,"abbr. 亚萨卡, 乒乓底板（Yasaka Extra）；酵母抽提物（Yeast Extracts）"
2644,abundance,ә'bʌndәns,"n. 丰富, 充足, 大量
[经] 丰富, 充裕"
2645,actively,'æktivli,"adv. 活跃地, 积极地"
2646,automatic,.ɒ:tә'mætik,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
2647,blocked,blɔkt,a. 堵塞的；被封锁的
2648,bull,bul,"n. 公牛
[法] 买方, 买空者"
2649,caption,'kæpʃәn,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
[计] 标题"
2650,century,'sentʃuri,"n. 世纪, 百年"
2651,constitute,kәn'stitjut,"vt. 构成, 组成, 任命
[建] 构造, 组成"
2652,degrade,di'greid,"v. (使)降级, (使)退化"
2653,depression,di'preʃәn,"n. 不景气, 消沉, 沮丧, 洼地
[医] 抑郁[症], 阻抑, 压低, 凹, 窝, 衰退, 俯角"
2654,drawing,'drɒ:iŋ,"n. 图画, 制图, 拉
[计] 绘图"
2655,drying,'draiiŋ,"[计] 干燥的
[化] 干燥"
2656,expulsion,ik'spʌlʃәn,"n. 逐出, 开除, 驱逐, 排气
[医] 逼出"
2657,herein,.hiәr'in,"adv. 在此处, 如此"
2658,inherently,in'hiәrәntli,"adv. 内在地, 生来地, 固有地
[计] 固有的"
2659,lecture,'lektʃә,"n. 演讲, 谴责, 讲稿
vt. 演讲, 训诫, 说教
vi. 讲演"
2660,manual,'mænjuәl,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
[计] 人工的, 手动的"
2661,meaningful,'mi:niŋful,a. 意味深长的
2662,minute,'minit. mai'nju:t,"n. 分, 分钟, 片刻, 备忘录, 笔记
vt. 记录, 摘录, 测定时间
a. 微小的, 详细的"
2663,newly,'nju:li,"adv. 重新, 最近"
2664,notably,'nәjtbәli,"adv. 显著地, 著名地, 尤其, 特别"
2665,oak,әuk,"n. 橡树, 橡木
a. 橡木制的"
2666,offering,'ɒfәriŋ,"n. 提供, 奉献物, 牲礼, 上市的股票(或证券等)
[经] 出售物"
2667,piece,pi:s,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量
vt. 修补, 修理, 拼合, 接线头
vi. 吃零食"
2668,pin,pin,"n. 大头针, 针, 别针, 栓, 销子, 图钉, 插头, 管脚, 品(液量单位)
vt. 将...用针别住, 钉住, 压住, 牵制, 使不能动, 归罪于
a. 针的, 销子的, 闩的"
2669,pop,pɒp,"n. 砰然声, 枪击, 含气饮料, 流行音乐, 通俗艺术
a. 流行的, 热门的, 通俗的
vt. 使发出爆裂声, 开枪打, 突然伸出
vi. 发出爆裂声, 射击, 突然出现, 瞪大
adv. 突然, 砰地
[计] 出现点, 邮局协议"
2670,road,rәud,"n. 路, 道路, 公路, 途径, 方法
[法] 公路, 道路, 行车道"
2671,rod,rɒd,"n. 竿, 笞鞭, 小枝
[化] 棒"
2672,strategic,strә'ti:dʒik,"a. 战略的, 战略上的
[经] 战略的"
2673,success,sәk'ses,"n. 成功, 成就, 胜利"
2674,summation,sʌ'meiʃәn,"n. 总和, 和, 合计
[医] 总和, 总合"
2675,assembled,ә'sembәld,v. 集合；装配（assemble的过去分词）
2676,bourgeois,buә'ʒwɑ:,"n. 中产阶级分子, 商人, 资产阶级
a. 中产阶级的, 平庸的
n. 九点活字"
2677,crystalline,'kristәlain,a. 透明的；水晶般的；水晶制的
2678,drastically,'dræstikәli,"adv. 激烈地, 彻底地"
2679,escaped,,"v. 避开；泄出；逃离, 逃脱（escape的过去式, 过去分词）"
2680,factory,'fæktәri,"n. 工厂, 产生地, 代理店
[经] 工厂, 代理店, 商行在国外的代理处"
2681,faculty,'fækәlti,"n. 才能, 能力, 全体教员, (大学的)系
[医] 能力, [大学]院系"
2682,fifth,fifθ,"num. 第五, 五分之一"
2683,fountain,'fauntin,"n. 水源, 源, 喷泉, 泉水, 本源
[医] 泉"
2684,frontier,'frʌntjә,"n. 边界, 边境
[法] 国境, 边境, 边界"
2685,gradual,'grædʒuәl,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
2686,handling,'hændliŋ,"n. 处理
a. 操作的"
2687,inefficient,.ini'fiʃәnt,"a. 无效率的, 无能的
[医] 无效的, 无效力的"
2688,installation,.instә'leiʃәn,"n. 安装, 装置, 就职
[医] 结构, 装置, 设立"
2689,label,'leibl,"n. 标签, 称号, 商标, 标志
vt. 贴标签于, 标注
[计] 标志; 标注; DOS外部命令:用于建立改变或删除磁盘卷标号"
2690,mix,miks,"n. 混合物, 混乱, 糊涂
vt. 使混合, 弄混, 使结合, 混淆
vi. 相混合, 交往, 参与"
2691,news,nju:z,"n. 新闻, 消息, 报导
[法] 新闻, 消息, 新闻报导"
2692,pierce,piәs,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动
vi. 刺入, 穿入, 透入, 进入"
2693,proximity,prɒk'simiti,"n. 接近, 亲近"
2694,pupil,'pju:pl,"n. 学生, 门生, 未成年人, 瞳孔
[医] 瞳孔"
2695,relax,ri'læks,"vi. 放松, 松懈, 松弛, 变从容, 休息, 休养
vt. 使松弛, 缓和, 使松懈, 使休息"
2696,safety,'seifti,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
2697,seem,si:m,"vi. 象是, 似乎"
2698,separating,'sepәreitiŋ,"[计] 分离的, 分隔的"
2699,solely,'sәulli,"adv. 仅仅, 单独地"
2700,trade,treid,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
2701,unresolved,'ʌnri'zɔlvd,"a. 无决断力的, 不果断的, 无决心的, 未解决的, 未澄清的, 未议决的, 未分解的
[计] 非分辩的"
2702,advancement,әd'vɑ:nsmәnt,"n. 前进, 进步, 提升
[医] 徙前术"
2703,assessment,ә'sesmәnt,"n. 评估, 估定, 评定的款额
[化] 评估"
2704,cap,kæp,"n. 盖子, 帽子
vt. 戴帽子, 覆盖, 胜过
vi. 脱帽致意
[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷"
2705,claim,kleim,"n. 要求, 要求权, 断言, 权利
vt. 要求, 认领, 主张
vi. 提出要求, 主张, 断言"
2706,coincidence,kәu'insidәns,"n. 巧合, 同时发生
[电] 符合计数器"
2707,consistency,kәn'sistәnsi,"n. 坚硬性, 黏稠度, 一致性
[化] 稠度; 一致性"
2708,copious,'kәupiәs,"a. 很多的, 丰富的, 内容丰富的"
2709,encounter,in'kauntә,"n. 相会, 相遇, 遭遇
vt. 遇见, 邂逅, 会战
vi. 偶然相遇"
2710,evaporation,i.væpә'reiʃәn,"n. 蒸发, 脱水, 消失
[化] 蒸发"
2711,expectation,.ekspek'teiʃәn,"n. 期待, 指望, 展望
[化] 期望值"
2712,false,fɒ:ls,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
2713,fashion,'fæʃәn,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
2714,filament,'filәmәnt,"n. 细丝, 细线, 灯丝, 单纤维
[化] 长丝; 单丝(复丝中的单根细丝); 丝极"
2715,grace,greis,"n. 优雅, 风度, 慈悲, 恩惠, 体面, 赦免, 恩典, 谢恩祷告
vt. 使优美"
2716,horizontally,,[计] 水平置中
2717,inclusion,in'kluʒәn,"n. 包含, 内含物
[计] 蕴含"
2718,insertion,in'sә:ʃәn,"n. 插入, 刊载, 插入物
[计] 插入"
2719,instructive,in'strʌktiv,"a. 有益的, 增进知识的"
2720,intuitively,,[计] 直觉地
2721,learning,'lә:niŋ,"n. 学问, 学识, 学习
[计] 学习"
2722,overestimate,.әuvәr'estimeit,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
2723,processed,,"a. 处理的, 加工过的"
2724,radioactive,.reidiәu'æktiv,"a. 放射性的, 有放射能的
[医] 放射性的, 放射的"
2725,restoring,,a. 恢复的
2726,reuse,ri:'ju:z,"vt. 再使用
n. 重新使用"
2727,satisfying,'sætisfaiiŋ,"a. 满意的, 充分的, 足可相信的"
2728,service,'sә:vis,"n. 服务, 贡献, 雇佣, 公职, 服役, 功劳, 仪式, 送达, 行政部门
vt. 保养, 维修
a. 武装部队的, 服务性的, 仆人的, 耐用的
[计] 服务, 业务"
2729,share,ʃєә,"n. 部分, 参与, 一份, 参股, 份额
vt. 均分, 分担, 分享, 分配, 共有
vi. 分享
[计] 共享; DOS外部命令:在网络或多工系统中提供文件共享
文件锁定及检测磁盘更动和对超过32MB硬盘分区的支持"
2730,shield,'ʃi:ld,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
2731,speaking,'spi:kiŋ,"n. 谈话, 演说
a. 讲话的, 适于说的, 讲某种语言的"
2732,specification,.spesifi'keiʃәn,"n. 规格, 详述, 详细说明书
[计] 规范; 形式说明; 说明; 说明书; 规格"
2733,strain,strein,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
2734,symbol,'simbl,"n. 符号, 象征, 代号, 信条
[计] 符号; 码元"
2735,temper,'tempә,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火
vt. 使回火, 锻炼, 调和, 使缓和
vi. 回火"
2736,tracer,'treisә,"n. 追踪者, 描图者, 描绘工具
[计] 跟踪程序"
2737,trough,trɒ:f,"n. 槽, 水槽, 饲料槽
[化] 料槽"
2738,unable,ʌn'eibl,"a. 不能的, 不会的
[法] 无能力的, 无资格的, 没有办法的"
2739,viable,'vaiәbl,"a. 能养活的, 能生长发育的
[医] 有活力的, 有生机的"
2740,waste,weist,"n. 浪费, 废物, 损耗, 消耗, 荒地, 垃圾, 地面风化物
a. 废弃的, 荒芜的, 多余的
vt. 浪费, 消耗, 使荒芜
vi. 浪费, 消耗, 变消瘦"
2741,website,,n. 网站（全球资讯网的主机站）
2742,accomplished,ә'kʌmpliʃt,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的"
2743,achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业"
2744,ambiguity,.æmbi'gju:iti,"n. 不明确, 含糊
[计] 二义性; 多义性"
2745,analyse,'ænәlaiz,"vt. 分析, 细察, 分解
[经] 分析"
2746,attempted,,a. 企图的；未遂的
2747,basically,'beisikli,"adv. 基本上, 主要地"
2748,biomedical,",baiәu'medikәl",a. 生物医学
2749,bounce,bauns,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
[计] 打回"
2750,chap,tʃæp,"n. 小伙子, 颌, 龟裂
v. 皲裂"
2751,clarity,'klærәti,"n. 清楚, 明晰
[化] 透明度; 透明性; 清晰性"
2752,conductor,kәn'dʌktә,"n. 领导者, 指挥者, 售票员, 向导
[化] 导体"
2753,converge,kәn'vә:dʒ,"vi. 聚合, 集中于一点
vt. 使集合"
2754,critically,'kritikәli,"adv. 批评性地, 审慎地, 精密地"
2755,damaged,'dæmidʒid,"a. 被损坏的
[建] 损伤了的, 损坏了的"
2756,door,dɒ:,n. 门
2757,draw,drɒ:,"vi. 拉, 拖, 拔剑
vt. 拖拉, 挨近, 领取, 打成平局, 引导, 抽签决定, 画, 描写, 制订, 草拟, 吸引
n. 拉, 拖, 拔出, 抽签, 平局
[计] 翻牌, 绘图"
2758,east,i:st,"n. 东方, 东
a. 东方的, 向东的
adv. 向东方, 朝东方"
2759,fellowship,'felәuʃip,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
[经] 合伙关系, 研究员薪金, 研究员基金"
2760,fern,fә:n,"n. 蕨类植物
[医] 蕨类植物"
2761,fort,fɒ:t,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
2762,frank,fræŋk,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
2763,heavily,'hevili,"adv. 很重地, 严重地, 难以忍受地"
2764,homogeneity,.hɒmәdʒe'ni:iti,"n. 同种, 同质, 齐性
[医] 同种性, 纯一性, 同质性, 均匀性"
2765,indirectly,,"adv. 间接, 曲折, 迂回, 不直截了当, 不诚实, 不坦率
[计] 间接地"
2766,integrate,'intigreit,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
2767,iteration,.itә'reiʃәn,"n. 重复, 反复说的话
[计] 迭代"
2768,library,'laibrәri,"n. 图书馆, 藏书, 库
[计] 库"
2769,mitigation,.miti'geiʃәn,"n. 缓和, 减轻
[法] 减, 减轻, 缓和"
2770,mount,maunt,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
[计] 安装"
2771,nickel,'nikl,"n. 镍, 镍币, 五分镍币
vt. 镀镍于"
2772,octave,"'ɔkteiv, -tiv","n. 八音度, 低八度音, 高八度音
[电] 八音度"
2773,pour,pɒ:,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
2774,preserving,,"n. 保留, 保存"
2775,realm,relm,"n. 王国, 领土, 领域
[计] 领域"
2776,reciprocal,ri'siprәkl,"a. 互惠的, 相互的, 相等的, 倒数的, 彼此相反的
n. 倒数, 互相起作用的事物"
2777,reliably,ri'laiәbli,"adv. 可靠地, 可信赖地"
2778,ride,raid,"n. 骑马, 乘坐, 乘车, 搭便车
vt. 骑, 乘坐, 压迫, 控制
vi. 骑马, 乘车, 漂游"
2779,said,sed,"a. 上述的
say的过去式和过去分词"
2780,shall,ʃæl,aux. 将
2781,shin,ʃin,"n. 胫骨
v. 攀, 爬"
2782,shortly,'ʃɒ:tli,"adv. 不久, 简短, 唐突地"
2783,singular,'siŋgjulә,"n. 单数
a. 异常的, 单一的"
2784,ski,ski:,"n. 滑雪橇
vi. 滑雪"
2785,snow,snәu,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
2786,strip,strip,"n. 长条, 条状, 带, 脱衣舞
vt. 脱衣, 被剥去, 剥夺, 拆卸
vi. 脱衣服"
2787,substance,'sʌbstәns,"n. 物质, 实质, 主旨, 资产, 本质, 牢固
[化] 物质"
2788,sudden,'sʌdn,"n. 突然, 忽然
a. 突然的, 意外的, 快速的"
2789,suite,swi:t,"n. 随员, 套房, (一)组, (一)套, 组曲, 继之而来的事
[电] 程序组"
2790,supposed,sә'pәuzd,"a. 想象上的, 假定的, 被信以为真的
[法] 推测的, 想像的, 被信以为真的"
2791,ultimate,'ʌltimit,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
2792,vanish,'væniʃ,"vi. 消失, 不见, 成为零"
2793,violation,.vaiә'leiʃәn,"n. 违反, 违背, 妨碍
[法] 违犯, 违背, 违反"
2794,widespread,'waidspred,"a. 充分伸展的, 广布的, 普及的, 流传广的"
2795,abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的"
2796,align,ә'lain,"vi. 排列, 排成一行, 结盟
vt. 使结盟, 使成一行, 校正"
2797,altered,ˈɔ:ltəd,"a. [医]改变的
v. 改变, 更改( alter的过去式和过去分词 )"
2798,anal,'einәl,"a. 肛门的, 肛门附近的
[计] 分析员"
2799,billion,'biljәn,"num. 十亿, 十亿个"
2800,catcher,'kætʃә,"n. 捕手, 捕捉器
[化] 受器; 接受器"
2801,cellular,'seljulә,"a. 细胞的
[医] 细胞的"
2802,certainly,'sә:tәnli,adv. 确定地
2803,coincide,.kәuin'said,"vi. 一致, 符合
[化] 重合"
2804,command,kә'mɑ:nd,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
[计] 命令; 指令; DOS外部命令:启动新的命令处理器"
2805,confine,kәn'fain,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
2806,dam,dæm,"n. 水坝, 障碍
v. 控制, 筑坝
[计] 直接存取法"
2807,disagreement,.disә'gri:mәnt,"n. 不合, 争论, 不一致
[法] 不一致, 不同意, 陪审团的意见不一"
